"cor.mean","cor.var","R2.loading","R2.intercept"
1,1,0.996579022042453,0.999217348949978
1,1,0.997455447933336,0.999490389282363
1,0.976190476190476,0.996144780254534,0.999264967275082
1,1,0.997611315079793,0.999328521605652
1,1,0.996978119059647,0.999341199454984
1,0.952380952380953,0.996021111397809,0.99960653005934
1,0.976190476190476,0.996178758682524,0.999380268353291
1,0.952380952380953,0.995922097912695,0.999449473593991
1,1,0.996076641039382,0.999465794459867
1,0.976190476190476,0.996128273451374,0.999441977549374
1,1,0.997110894782796,0.99925326710099
1,1,0.99624908307737,0.999384749805869
1,1,0.996001685567765,0.999453351057502
1,0.976190476190476,0.9969629539706,0.999424879708811
1,1,0.996778512977988,0.999326736574061
1,0.976190476190476,0.997325520552665,0.999423977570625
1,0.976190476190476,0.997019601630276,0.999537766103544
1,0.952380952380953,0.996906455479908,0.999525604271744
1,0.976190476190476,0.996022060586454,0.999273069253687
1,0.976190476190476,0.995536769814873,0.999420980189622
1,1,0.99743715225438,0.999439614169659
0.976190476190476,1,0.996865181709698,0.999254656810782
1,1,0.996788759399478,0.999416112871422
1,1,0.996713641433387,0.999404842511171
1,0.952380952380953,0.995721685819324,0.999309631055515
1,0.976190476190476,0.99609695978143,0.999406268611172
1,1,0.995724169417335,0.999197220192826
1,0.976190476190476,0.995718248571191,0.999230395828521
1,1,0.997478965093706,0.999461347949804
1,1,0.995271220833155,0.999389889133064
0.976190476190476,1,0.996932277810316,0.999340643309392
1,1,0.997705669561051,0.99948702474085
1,1,0.995894553589127,0.999256532441171
1,1,0.997338758895445,0.99940103277818
1,1,0.997258514528153,0.999429724122483
1,0.976190476190476,0.995698342104552,0.999325904321423
1,0.928571428571429,0.997152596455946,0.999236481740603
1,1,0.995961508237803,0.999308272638018
1,0.976190476190476,0.996916147691915,0.999338605184887
1,0.952380952380953,0.99529475939873,0.999324065847157
1,0.952380952380953,0.996957705117177,0.999459193157208
1,1,0.995759645629412,0.999416941894654
1,0.952380952380953,0.994349662772046,0.999178164839541
0.976190476190476,0.976190476190476,0.996351211510031,0.99931347673097
0.976190476190476,0.976190476190476,0.996608278425088,0.999093234197862
1,1,0.994381195944824,0.999046970091125
1,0.976190476190476,0.996134577639777,0.999271599697391
1,1,0.995824538296695,0.999412870880901
1,1,0.996961211617777,0.999387168888289
1,1,0.996453708369393,0.999465586631785
1,1,0.996922001320068,0.999425039773266
1,1,0.996747131522451,0.999386973532607
1,0.976190476190476,0.996848110565068,0.999346986327087
1,0.976190476190476,0.996458705002305,0.999422144887967
1,1,0.996037957331178,0.999549358553621
1,1,0.996181438305698,0.999320060242998
1,0.952380952380953,0.996045361006496,0.99951612166962
1,1,0.996244304678986,0.999489512101698
1,1,0.994407415028419,0.999210218028475
1,1,0.996024942943365,0.999280804895809
1,0.976190476190476,0.996109805389723,0.999261165512289
1,0.976190476190476,0.996883655237219,0.999433338480395
1,0.976190476190476,0.996503965912869,0.999458174262157
1,0.976190476190476,0.99717426208005,0.999118055547372
1,0.976190476190476,0.997174333322909,0.999365111439752
1,1,0.996419394324585,0.999442014881713
1,1,0.995300761449432,0.999166147977412
1,1,0.996058129189017,0.999356103826508
1,1,0.996657556329634,0.999254226992613
1,0.976190476190476,0.996038977250447,0.999393486580717
0.976190476190476,1,0.995901814522099,0.999347534880939
1,1,0.996422684162482,0.999155993401722
1,1,0.995962749542911,0.99929342844559
1,0.976190476190476,0.995463177863234,0.999337265821857
1,1,0.996819272399053,0.999358256249348
1,0.976190476190476,0.996435539061174,0.999162983330669
1,0.976190476190476,0.995186580741842,0.999114300511717
1,1,0.996556379084625,0.999314936201062
1,0.976190476190476,0.995623788224449,0.999352525899235
1,1,0.995799352058276,0.999236654538635
1,1,0.996735923037903,0.999245193880484
1,0.952380952380953,0.994016761326159,0.999345098937337
0.976190476190476,1,0.996348240937038,0.999320154912408
1,1,0.99627568240526,0.999503523258864
1,1,0.99640960646053,0.999306110789362
1,1,0.996195734338595,0.999245722364284
1,0.976190476190476,0.996092956316951,0.999420001832511
1,1,0.99637751881719,0.999237419059269
1,1,0.996449281674553,0.999401610697647
1,0.976190476190476,0.99654566568961,0.998951502968701
1,1,0.99671373940057,0.999485435364339
1,1,0.997291451773701,0.999371618576995
1,1,0.997221729519827,0.999451226656746
1,1,0.997131087584909,0.99935950536981
1,1,0.996073060267852,0.999470760854622
1,1,0.996088224707215,0.999257731626213
1,1,0.996856007709518,0.999444320013784
1,1,0.99498980914079,0.999044578315395
1,0.976190476190476,0.996701153909008,0.999289766276509
1,1,0.99646440732737,0.999325507362903
1,0.976190476190476,0.996880880195578,0.999390467800357
1,1,0.996621999409897,0.999418219508154
1,1,0.996980928386522,0.999471814381239
1,1,0.995686073827404,0.99926696808164
1,1,0.996506810704669,0.999354270021364
1,1,0.995881295604191,0.999463657144437
0.976190476190476,1,0.995360329403383,0.999223088951496
1,1,0.997063054031844,0.999421130443903
1,1,0.997409102682909,0.999388108255156
1,0.976190476190476,0.996460940346471,0.99942796399975
1,1,0.997466529709503,0.999330910404088
1,0.976190476190476,0.996753173777825,0.999355590001879
1,0.976190476190476,0.995471612381332,0.999257916973742
1,0.976190476190476,0.9964867873755,0.999292290219585
0.976190476190476,0.976190476190476,0.996851943716292,0.999349489765315
1,0.976190476190476,0.995714732550749,0.999298325302042
1,1,0.996347190328005,0.999351841088934
1,1,0.994981415644177,0.99916250111683
1,0.976190476190476,0.996941315798358,0.999381033479966
0.976190476190476,1,0.996259533523177,0.999255212754493
1,1,0.997123935684554,0.999362080286211
1,0.976190476190476,0.995745793757566,0.999451599047419
1,1,0.996347390914502,0.999338203780184
1,1,0.997181275733228,0.999230296211735
1,1,0.99640429450694,0.999493048591816
1,1,0.997185042701605,0.999395154779045
0.976190476190476,1,0.996358026298132,0.999093650731266
1,1,0.995761282103441,0.999363216311606
0.976190476190476,0.976190476190476,0.997183494375645,0.999335099527918
0.976190476190476,0.976190476190476,0.996023688192776,0.999418487605426
1,0.952380952380953,0.995235438949378,0.999276229019803
1,1,0.996010195568458,0.999225045509126
1,1,0.996694925430739,0.999439729334846
0.976190476190476,1,0.995876646853406,0.999298794060339
1,1,0.996121859369666,0.999509113423807
1,1,0.99705385007208,0.999333288692129
1,0.976190476190476,0.996365231787718,0.999512045993846
1,0.976190476190476,0.995793309489842,0.99944910655463
1,1,0.996425884164015,0.999408258511413
1,1,0.996605286744229,0.999279032355404
1,0.976190476190476,0.996828770937521,0.999395899423056
1,1,0.996885377609931,0.999354883678241
1,0.976190476190476,0.995443223682894,0.999424797568168
1,1,0.997124115805643,0.999389150261867
1,1,0.996279966715393,0.999236753896343
0.976190476190476,1,0.997733271402451,0.999300750405704
1,0.976190476190476,0.997029267102473,0.999397555993028
1,0.976190476190476,0.997035555767127,0.999514445043581
1,1,0.996388518987459,0.999388986267743
1,0.976190476190476,0.995548299120521,0.99930146377913
1,1,0.997195741954863,0.99937203583582
1,0.976190476190476,0.997401190516856,0.999316692868434
1,1,0.997794079301264,0.999387218083729
1,1,0.9969322062438,0.99927979074585
1,1,0.996973895424156,0.999411371339891
1,0.976190476190476,0.996552795257807,0.999376874211663
1,1,0.99502017268535,0.999025375598236
1,1,0.995688637112034,0.99927044643826
